Label (Grouping),32601,32603,32605,32606,32607,32608,32609,32641,32653,32669
HOUSEHOLDS BY TYPE,,,,,,,,,,
    Total households,"10,450","2,694","10,627","10,657","15,322","23,917","7,743","5,056","6,505","7,135"
        Married-couple household,"1,321",277,"5,175","4,406","3,722","7,999","2,401","1,497","3,221","4,489"
            With children of the householder under 18 years,405,174,"1,917","1,803","1,445","3,018",885,490,"1,215","1,679"
        Cohabiting couple household,739,157,688,783,"1,471","1,700",692,186,239,335
            With children of the householder under 18 years,168,0,12,232,60,225,96,73,8,99
"        Male householder, no spouse/partner present","4,121","1,281","1,704","2,080","3,829","5,982","1,878",777,"1,334",624
            With children of the householder under 18 years,288,0,18,189,475,109,124,31,54,28
            Householder living alone,"2,069",733,"1,307","1,740","1,982","3,854","1,414",620,"1,010",468
                65 years and over,154,25,425,678,400,695,529,288,424,195
"        Female householder, no spouse/partner present","4,269",979,"3,060","3,388","6,300","8,236","2,772","2,596","1,711","1,687"
            With children of the householder under 18 years,309,9,358,331,"1,468",674,758,691,178,236
            Householder living alone,"2,393",533,"2,071","2,386","2,632","4,673","1,300",934,"1,041","1,237"
                65 years and over,221,0,"1,108","1,279",554,"1,218",770,452,639,657
        Households with one or more people under 18 years,"1,245",183,"2,553","2,634","3,536","4,445","2,017","1,563","1,670","2,194"
        Households with one or more people 65 years and over,"1,028",95,"3,952","3,707","2,223","4,625","2,306","1,959","2,587","2,407"
        Average household size,2.01,1.78,2.31,2.14,2.27,2.23,2.31,2.62,2.32,2.48
        Average family size,2.59,2.81,2.97,2.87,2.94,2.97,3.04,3.27,2.94,2.94
RELATIONSHIP,,,,,,,,,,
    Population in households,"21,054","4,802","24,517","22,816","34,794","53,381","17,856","13,241","15,088","17,697"
        Householder,"10,450","2,694","10,627","10,657","15,322","23,917","7,743","5,056","6,505","7,135"
        Spouse,"1,223",293,"5,159","4,350","3,690","8,294","2,073","1,549","3,196","4,498"
        Unmarried partner,780,137,675,788,"1,548","1,839",635,170,246,297
        Child,"2,540",250,"5,951","5,912","8,191","10,264","5,022","4,739","4,076","4,813"
        Other relatives,546,51,"1,086",459,"1,147","2,910","1,096","1,238",707,717
        Other nonrelatives,"5,515","1,377","1,019",650,"4,896","6,157","1,287",489,358,237
MARITAL STATUS,,,,,,,,,,
    Males 15 years and over,"10,473","4,022","9,561","9,382","13,504","23,044","8,993","5,013","6,007","6,848"
        Never married,"8,383","3,674","3,488","3,371","7,725","12,026","5,054","2,530","1,690","1,791"
"        Now married, except separated","1,495",305,"5,175","4,639","4,256","9,239","2,708","1,645","3,216","4,502"
        Separated,133,33,108,67,285,47,196,116,30,36
        Widowed,48,0,138,594,181,339,155,84,280,194
        Divorced,414,10,652,711,"1,057","1,393",880,638,791,325
    Females 15 years and over,"11,002","3,179","11,110","9,917","16,969","24,386","7,596","6,151","6,295","7,553"
        Never married,"8,333","2,776","3,344","2,776","10,468","11,504","3,013","2,869","1,408","1,331"
"        Now married, except separated","1,484",357,"5,423","4,520","3,896","8,359","2,578","1,647","3,396","4,739"
        Separated,82,0,62,134,243,678,217,193,5,28
        Widowed,260,35,642,"1,106",604,"1,330",590,571,570,595
        Divorced,843,11,"1,639","1,381","1,758","2,515","1,198",871,916,860
PLACE OF BIRTH,,,,,,,,,,
    Total population,"23,180","7,419","24,689","23,022","35,720","54,566","19,752","13,963","15,150","17,704"
        Native,"21,098","6,279","21,467","19,289","30,716","44,616","18,993","13,371","13,385","15,922"
            Born in United States,"20,467","6,061","20,756","18,666","29,108","42,948","18,808","13,262","12,697","15,587"
                State of residence,"13,362","4,321","10,587","8,337","16,885","23,459","12,586","10,709","6,834","9,728"
                Different state,"7,105","1,740","10,169","10,329","12,223","19,489","6,222","2,553","5,863","5,859"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",631,218,711,623,"1,608","1,668",185,109,688,335
        Foreign-born,"2,082","1,140","3,222","3,733","5,004","9,950",759,592,"1,765","1,782"
U.S. CITIZENSHIP STATUS,,,,,,,,,,
    Foreign-born population,"2,082","1,140","3,222","3,733","5,004","9,950",759,592,"1,765","1,782"
        Naturalized U.S. citizen,943,441,"1,850","2,095","2,808","4,715",546,353,"1,432","1,340"
        Not a U.S. citizen,"1,139",699,"1,372","1,638","2,196","5,235",213,239,333,442
COMPUTERS AND INTERNET USE,,,,,,,,,,
Total households,"10,450","2,694","10,627","10,657","15,322","23,917","7,743","5,056","6,505","7,135"
With a computer,"10,145","2,669","10,302","10,174","15,141","23,452","7,484","4,849","6,395","7,108"
With a broadband Internet subscription,"8,452","2,306","10,074","9,729","13,112","21,489","6,543","3,673","6,141","6,793"
TYPES OF COMPUTER,,,,,,,,,,
 Has one or more types of computing devices:,"10,145","2,669","10,302","10,174","15,141","23,452","7,484","4,849","6,395","7,108"
            Desktop or laptop,"9,452","2,616","9,711","9,132","13,806","21,047","5,914","2,924","5,571","6,257"
                Desktop or laptop with no other type of computing device,67,45,301,132,351,238,207,102,186,136
            Smartphone,"10,065","2,594","9,894","9,821","14,663","23,032","7,054","4,559","6,144","6,856"
                Smartphone with no other type of computing device,443,10,375,718,"1,064","1,726",710,"1,510",497,586
            Tablet or other portable wireless computer,"6,740","1,812","7,226","6,721","9,536","15,886","4,983","2,366","4,575","5,361"
                Tablet or other portable wireless computer with no other type of computing device,0,30,0,26,0,49,92,70,46,90
            Other computer,91,7,314,296,536,753,109,95,173,146
                Other computer with no other type of computing device,0,0,0,38,0,0,0,0,0,0
No computer,305,25,325,483,181,465,259,207,110,27
TYPE OF INTERNET SUBSCRIPTIONS,,,,,,,,,,
With an Internet subscription:,"8,452","2,306","10,074","9,755","13,112","21,502","6,558","3,673","6,141","6,793"
            Dial-up with no other type of Internet subscription,0,0,0,26,0,13,15,0,0,0
            Broadband of any type,"8,452","2,306","10,074","9,729","13,112","21,489","6,543","3,673","6,141","6,793"
                Cellular data plan,"8,183","2,276","9,551","9,162","12,650","20,691","6,339","3,332","5,867","6,216"
                    Cellular data plan with no other type of Internet subscription,929,303,565,687,"1,155","1,882",891,969,485,689
"                Broadband such as cable, fiber optic or DSL","7,199","1,945","9,378","8,828","11,772","19,096","5,373","2,658","5,534","5,645"
                Satellite Internet service,305,284,294,582,676,"1,665",364,234,271,682
Without an Internet subscription,"1,998",388,553,902,"2,210","2,415","1,185","1,383",364,342
HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
"Less than $20,000:","3,945","1,628",623,846,"2,801","4,734","1,522","1,352",491,640
            With dial-up Internet subscription alone,0,0,0,0,0,0,0,0,0,0
            With a broadband Internet subscription,"3,117","1,469",580,822,"2,007","3,636",981,757,386,519
            Without an Internet subscription,828,159,43,24,794,"1,098",541,595,105,121
"$20,000 to $74,999:","4,056",798,"3,913","3,881","7,952","9,024","3,676","2,617","2,093","2,152"
            With dial-up Internet subscription alone,0,0,0,0,0,8,15,0,0,0
            With a broadband Internet subscription,"3,054",584,"3,502","3,228","6,706","8,282","3,071","1,963","1,960","1,970"
            Without an Internet subscription,"1,002",214,411,653,"1,246",734,590,654,133,182
"$75,000 or more:","2,449",268,"6,091","5,930","4,569","10,159","2,545","1,087","3,921","4,343"
            With dial-up Internet subscription alone,0,0,0,26,0,5,0,0,0,0
            With a broadband Internet subscription,"2,281",253,"5,992","5,679","4,399","9,571","2,491",953,"3,795","4,304"
            Without an Internet subscription,168,15,99,225,170,583,54,134,126,39
VEHICLES AVAILABLE,,,,,,,,,,
No vehicle available,"1,891",397,341,"1,237","1,495","1,881",939,557,335,183
1 vehicle available,"4,295","1,566","4,194","3,718","6,619","9,961","3,247","2,373","2,138","1,876"
2 vehicles available,"2,786",425,"4,307","4,334","5,168","8,786","2,459","1,444","2,864","3,688"
3 or more vehicles available,"1,478",306,"1,785","1,368","2,040","3,289","1,098",682,"1,168","1,388"
